ListingId	UpdateOnDate	Address	NewPrice
168668690	2020-12-15	2-akuna-street-city-canberra	$418 per week
168668690	2020-12-16	2-akuna-street-city-canberra	$418 per week
170774637	2020-11-30	63-henry-kendall-street-franklin-canberra	$790 per week
170922036	2020-11-30	1804-2-marcus-clarke-street-city-canberra	$550 per week
175330447	2020-11-30	no-street-name-provided-belconnen-canberra	$450 per week
175518296	2020-12-07	no-street-name-provided-ngunnawal-canberra	$510 per week
175599806	2020-12-07	15-victor-chang-street-macgregor-canberra	$530 per week
175749337	2020-11-30	33-currong-street-south-reid-canberra	$490 per week
175749337	2020-12-15	33-currong-street-south-reid-canberra	$490 - $491 per week
175749337	2020-12-16	33-currong-street-south-reid-canberra	$490 - $491 per week
177086945	2020-12-15	73-217-northbourn-avenue-turner-canberra	$850 per week
177086945	2020-12-16	73-217-northbourn-avenue-turner-canberra	$850 per week
177409517	2020-11-30	no-street-name-provided-throsby-canberra	$460 per week
177650927	2020-11-30	5-arcadia-street-crace-canberra	$700 - $720 per week
178384129	2020-11-30	410-74-northbourne-ave-braddon-canberra	$495 per week
178649074	2020-11-30	502-88-northbourne-ave-braddon-canberra	$430 per week
178651418	2020-12-15	75-43-constitution-ave-reid-canberra	$580 - $600 per week
178651418	2020-12-16	75-43-constitution-ave-reid-canberra	$580 - $600 per week
178706590	2020-12-07	80-7-state-circle-forrest-canberra	$520 per week
178718867	2020-12-16	28-2-pipeclay-street-lawson-canberra	$520 - $535 per week
178759613	2020-11-30	9-daplyn-close-weston-canberra	$750 pw
178768840	2020-12-15	152-46-macquarie-street-barton-canberra	$610 per week
178768840	2020-12-16	152-46-macquarie-street-barton-canberra	$610 per week
178775787	2020-11-30	8-7-sydney-avenue-barton-canberra	$470 per week
178811912	2020-11-30	12-33-eastlake-parade-kingston-canberra	$1,000 per week
178817178	2020-11-30	56-219a-northbourne-avenue-turner-canberra	$550 per week
178817787	2020-11-30	59-15-limburg-way-greenway-canberra	$415 per week
178826774	2020-12-07	58b-caley-crescent-narrabundah-canberra	$320 per week
178826774	2020-12-15	58b-caley-crescent-narrabundah-canberra	$300 per week
178826774	2020-12-16	58b-caley-crescent-narrabundah-canberra	$300 per week
178829105	2020-11-30	62-7-state-circle-forrest-canberra	$525 per week
178836840	2020-12-15	70-11-trevillian-quay-kingston-canberra	$950 per week
178836840	2020-12-16	70-11-trevillian-quay-kingston-canberra	$950 per week
178853854	2020-12-15	59-53-mcmillan-crescent-griffith-canberra	$430 pw
178853854	2020-12-16	59-53-mcmillan-crescent-griffith-canberra	$430 pw
178854540	2020-12-15	12-39-majura-avenue-dickson-canberra	$600 per week
178854540	2020-12-16	12-39-majura-avenue-dickson-canberra	$600 per week
178864093	2020-12-15	20-49-tishler-street-wright-canberra	$495 per week
178864093	2020-12-16	20-49-tishler-street-wright-canberra	$495 per week
